Team,Conference,G,RBI,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO
A&M-Corpus Christi,Southland,42,146,"1,068",170,258,57,4,377,18,1,141,17,8,27,230,67,14,8,,53,10,,300,269
Abilene Christian,WAC,46,168,"1,177",192,321,60,9,474,25,5,143,40,8,17,249,66,16,10,,38,13,,310,279
Akron,MAC,43,139,"1,099",153,265,43,5,381,21,,89,18,9,20,248,64,9,2,,26,4,,280,279
Alabama,SEC,47,241,"1,183",270,355,62,8,571,46,1,177,35,15,24,182,32,16,8,,54,14,,301,345
Alabama A&M,SWAC,34,103,895,136,225,35,5,294,8,,79,17,5,28,151,30,13,3,,49,14,,294,199
Alabama St.,SWAC,44,134,"1,144",172,303,51,9,387,5,,90,19,10,30,215,60,6,5,,95,14,,296,316
Alcorn,SWAC,41,170,"1,025",188,272,43,21,387,10,1,122,21,11,15,202,53,12,6,,63,10,,243,290
App State,Sun Belt,46,227,"1,242",247,336,53,6,545,48,1,189,27,10,13,283,58,5,3,,39,4,,294,308
Arizona,Pac-12,43,259,"1,076",275,355,46,8,615,66,1,123,22,12,18,206,56,8,4,,18,7,,232,280
Arizona St.,Pac-12,39,257,980,270,325,64,5,630,77,1,140,47,14,12,172,70,17,5,,24,6,,179,307
Ark.-Pine Bluff,SWAC,42,108,978,117,229,40,6,323,14,1,67,8,9,15,238,69,7,3,,18,9,,239,260
Arkansas,SEC,43,302,"1,118",325,382,62,3,696,82,1,150,52,14,16,177,38,17,9,,36,8,,281,274
Army West Point,Patriot,45,131,"1,174",149,285,61,5,401,15,1,79,17,11,13,222,68,12,7,,36,8,,323,316
Auburn,SEC,46,273,"1,171",307,372,69,15,702,77,1,137,28,14,17,200,44,11,7,,62,17,,264,322
Austin Peay,OVC,44,166,"1,206",192,354,46,12,517,31,2,105,24,11,13,101,21,10,4,,34,8,,379,358
Ball St.,MAC,44,203,"1,173",223,334,51,7,552,51,,120,28,11,21,249,69,10,2,,59,15,,285,296
Baylor,Big 12,44,163,"1,122",192,314,52,11,421,11,1,122,29,7,21,186,51,10,3,,64,14,,326,292
Bellarmine,ASUN,45,86,"1,088",97,226,39,1,321,18,,102,12,9,17,249,58,7,3,,27,5,,276,334
Belmont,OVC,37,208,"1,004",231,324,50,7,466,26,,112,17,9,6,182,42,10,4,,85,15,,231,238
Bethune-Cookman,SWAC,44,87,"1,099",119,255,16,1,279,2,1,86,23,8,38,185,53,6,2,,43,22,,442,210
Binghamton,America East,35,112,927,128,226,41,9,345,20,1,77,20,10,12,237,69,7,2,,36,12,,212,239
Boise St.,Mountain West,41,250,"1,142",271,352,72,9,613,57,3,130,44,11,13,193,61,19,8,,31,6,,278,302
Boston College,ACC,43,136,"1,133",147,292,61,9,449,26,,85,25,7,11,216,54,14,6,,40,7,,319,283
Boston U.,Patriot,47,244,"1,276",276,403,68,20,580,23,,123,38,19,29,197,48,9,3,,57,11,,343,326
Bowling Green,MAC,39,144,"1,017",168,264,41,4,385,24,,125,21,11,24,246,71,12,3,,49,10,,261,244
Bradley,MVC,43,176,"1,127",199,312,58,12,469,25,,105,31,17,10,259,65,12,5,,57,8,,252,282
Brown,Ivy League,36,113,921,131,209,40,6,300,13,,88,27,4,19,176,41,10,6,,39,6,,260,267
Bryant,NEC,35,112,902,123,201,37,2,284,14,,112,20,8,22,235,52,6,3,,33,6,,195,269
Bucknell,Patriot,39,57,943,70,198,33,4,254,5,,72,9,5,11,198,66,8,3,,9,1,,276,265
Buffalo,MAC,37,131,957,145,207,37,6,340,28,1,136,23,5,3,298,103,5,2,,40,6,,154,291
Butler,Big East,40,139,"1,057",159,285,35,5,405,25,,120,26,8,20,200,46,7,2,,56,18,,260,296
BYU,WCC,39,219,985,244,305,60,7,496,39,,160,30,11,23,143,52,17,11,,50,7,,304,232
Cal Poly,Big West,39,149,"1,041",163,300,44,9,401,13,,88,32,6,26,130,40,18,9,,17,9,,305,290
Cal St. Fullerton,Big West,46,213,"1,269",242,382,65,4,548,31,1,100,36,10,15,240,48,14,6,,67,12,,340,279
California,Pac-12,46,213,"1,251",241,373,57,6,589,49,1,130,33,9,22,206,68,11,6,,49,13,,343,326
California Baptist,WAC,50,151,"1,238",181,298,54,9,400,10,,103,30,17,44,247,60,9,6,,51,14,,367,340
Campbell,Big South,43,120,"1,072",147,248,43,6,351,16,,120,28,13,30,229,63,13,4,,61,9,,264,344
Canisius,MAAC,39,159,"1,069",189,304,48,12,424,16,,99,17,9,16,242,65,12,4,,81,15,,275,221
Central Ark.,ASUN,44,195,"1,187",223,375,41,8,519,29,,146,9,9,22,237,61,7,2,,74,15,,321,238
Central Conn. St.,NEC,43,107,"1,067",112,236,55,5,364,21,,103,14,9,16,307,84,6,1,,11,5,,224,302
Central Mich.,MAC,42,173,"1,117",186,301,64,4,508,45,,104,16,4,24,237,70,15,7,,10,4,,273,294
Charleston So.,Big South,45,157,"1,175",174,300,54,7,461,31,,95,17,7,14,221,42,15,7,,25,8,,315,327
Charlotte,C-USA,46,232,"1,232",248,365,75,11,630,56,3,151,32,12,12,205,59,12,6,,40,10,,304,345
Chattanooga,SoCon,44,179,"1,144",198,306,61,7,492,37,,93,25,14,30,239,60,7,2,,47,6,,290,303
Clemson,ACC,47,211,"1,191",230,325,50,9,558,55,1,143,42,7,6,244,53,22,9,,60,13,,280,313
Cleveland St.,Horizon,34,117,916,141,222,45,2,316,15,,75,19,5,24,222,38,4,2,,33,9,,250,209
Coastal Carolina,Sun Belt,41,164,"1,045",173,266,48,,482,56,,102,15,7,14,234,59,16,10,,32,6,,239,302
Col. of Charleston,CAA,44,104,"1,129",117,244,39,1,333,16,,96,37,8,26,235,59,17,8,,16,7,,329,325
Colgate,Patriot,37,121,949,137,233,55,8,367,21,,84,13,7,16,189,50,16,4,,18,6,,233,275
Colorado St.,Mountain West,37,150,"1,018",169,281,44,12,406,19,,75,14,11,6,176,48,10,3,,35,6,,271,263
Columbia,Ivy League,35,106,915,120,226,36,2,323,19,2,80,23,4,14,152,38,6,1,,18,8,,245,276
Coppin St.,MEAC,39,111,973,137,231,48,8,325,10,,105,20,3,17,199,48,14,6,,15,10,,253,271
Cornell,Ivy League,29,95,765,100,178,26,3,249,13,,88,18,9,14,161,43,10,4,,13,4,,176,249
Creighton,Big East,38,165,997,181,280,54,6,448,34,2,107,28,11,19,257,62,9,5,,21,7,,260,203
CSU Bakersfield,Big West,36,63,821,78,163,22,10,229,8,2,65,23,5,19,247,74,10,2,,26,9,,193,218
CSUN,Big West,45,118,"1,132",136,235,43,7,343,17,,98,43,5,41,262,58,11,5,,28,6,,341,296
Dartmouth,Ivy League,35,91,851,110,195,38,4,274,11,,78,20,4,19,204,49,7,4,,33,9,,204,245
Dayton,Atlantic 10,34,111,878,125,253,32,3,333,14,1,78,17,12,33,156,33,13,3,,47,5,,280,208
Delaware,CAA,42,210,"1,144",233,319,62,11,511,36,1,149,24,11,16,163,62,13,3,,38,13,,317,334
Delaware St.,MEAC,32,57,714,68,139,16,4,181,6,,72,19,3,11,133,40,9,4,,39,12,,244,182
DePaul,Big East,43,245,"1,169",261,347,77,12,586,46,,152,39,13,10,235,45,6,6,,32,3,,302,273
Detroit Mercy,Horizon,36,62,864,70,175,20,,237,14,,80,13,2,7,187,37,11,4,,11,4,,262,228
Dixie St.,WAC,43,190,"1,132",208,356,59,4,525,34,,117,22,12,13,205,44,14,6,,46,10,,285,279
Drake,MVC,40,178,"1,004",202,265,50,6,387,20,,157,20,11,9,197,55,10,3,,64,7,,291,239
Drexel,CAA,40,198,"1,133",221,327,51,7,488,32,1,151,19,11,18,166,49,17,12,,33,4,,294,333
Duke,ACC,43,306,"1,098",320,368,71,6,685,78,,137,48,15,17,180,48,4,1,,65,12,,219,324
East Carolina,AAC,48,182,"1,216",215,314,60,12,458,20,,147,19,12,22,274,75,24,13,,62,13,,331,298
Eastern Ill.,OVC,47,224,"1,231",241,341,63,5,540,42,,166,15,12,30,225,79,10,4,,37,13,,289,376
Eastern Ky.,ASUN,42,131,"1,032",148,233,47,3,361,25,,140,35,16,9,244,55,13,6,,55,9,,219,341
Elon,CAA,44,150,"1,105",176,269,44,8,407,26,,136,22,8,16,230,66,12,4,,57,6,,267,316
ETSU,SoCon,47,77,"1,141",103,246,31,9,304,3,,92,23,11,16,261,55,14,8,,98,34,,308,311
Evansville,MVC,43,162,"1,082",186,274,62,11,418,20,,146,20,5,8,282,66,14,8,,44,7,,252,258
Fairfield,MAAC,36,105,886,119,209,42,3,290,11,2,82,15,8,40,231,59,7,3,,45,7,,228,238
Fairleigh Dickinson,NEC,39,150,"1,021",166,278,59,1,438,33,3,106,29,8,26,195,45,14,7,,34,7,,263,274
FGCU,ASUN,44,123,"1,115",130,278,38,9,391,19,1,84,25,6,22,215,39,6,2,,27,9,,288,339
FIU,C-USA,44,106,"1,054",125,235,36,7,306,7,,110,18,9,21,192,45,13,8,,43,12,,336,284
Fla. Atlantic,C-USA,46,130,"1,127",142,260,47,16,390,17,1,106,19,15,20,283,56,4,,,40,11,,271,314
Florida,SEC,47,246,"1,250",280,390,54,17,565,29,1,153,34,22,17,200,45,14,7,,105,11,,288,381
Florida A&M,SWAC,44,126,"1,136",153,272,51,7,373,12,1,89,20,6,14,224,44,17,9,,61,15,,337,275
Florida St.,ACC,48,271,"1,269",296,377,68,10,612,49,2,201,16,20,8,197,52,12,5,,76,18,,316,368
Fordham,Atlantic 10,41,149,"1,081",157,263,27,5,426,42,,111,15,8,15,258,63,10,2,,41,4,,272,265
Fresno St.,Mountain West,45,116,"1,112",139,266,40,12,381,17,2,123,19,6,25,263,71,11,7,,45,10,,295,285
Furman,SoCon,44,139,"1,099",163,242,43,6,354,19,,126,30,12,24,240,55,11,2,,41,5,,281,327
Ga. Southern,Sun Belt,38,99,928,119,200,18,8,312,26,,88,21,6,25,207,34,8,3,,43,10,,247,271
Gardner-Webb,Big South,38,114,996,129,239,51,5,327,9,,112,22,7,2,253,68,15,3,,29,9,,248,245
George Mason,Atlantic 10,42,142,"1,067",160,287,52,6,384,11,,113,13,9,19,216,55,19,4,,53,13,,259,297
George Washington,Atlantic 10,38,170,988,194,290,67,5,451,28,,108,14,9,21,126,47,13,7,,31,11,,292,273
Georgetown,Big East,38,155,"1,007",172,266,47,3,451,44,,106,36,8,18,204,42,6,2,,12,6,,236,297
Georgia,SEC,48,318,"1,240",342,410,71,9,760,87,,167,23,16,16,203,42,17,9,,44,10,,275,351
Georgia St.,Sun Belt,43,137,"1,067",159,258,44,6,389,25,,102,38,4,18,228,45,12,5,,96,22,,282,290
Georgia Tech,ACC,48,252,"1,280",285,374,70,6,552,32,1,218,41,9,26,226,72,16,7,,62,11,,372,308
Grambling,SWAC,36,141,964,182,265,45,4,333,5,1,113,20,7,21,179,44,5,1,,83,11,,242,240
Grand Canyon,WAC,43,251,"1,151",287,387,59,12,605,45,,102,40,13,15,175,53,2,,,112,16,,248,328
Green Bay,Horizon,35,136,892,152,243,43,3,391,33,,107,23,4,23,212,46,12,8,,49,11,,198,229
Hampton,Big South,49,141,"1,283",176,318,47,7,421,14,1,120,17,6,28,264,96,10,4,,67,14,,363,318
Hartford,America East,38,102,962,122,229,56,7,368,23,,67,16,9,10,219,50,11,6,,31,11,,256,244
Harvard,Ivy League,33,100,834,122,206,23,6,289,16,,97,24,8,19,179,38,7,3,,51,7,,222,222
Hawaii,Big West,33,118,846,137,210,29,2,327,28,,85,30,2,12,203,55,9,3,,28,8,,189,224
Hofstra,CAA,39,99,"1,049",131,257,35,3,328,10,,92,20,6,22,266,65,10,5,,23,4,,271,237
Holy Cross,Patriot,44,91,"1,120",111,270,46,0,346,10,1,107,14,6,31,202,51,21,11,,20,4,,353,282
Houston,AAC,47,199,"1,200",222,321,45,3,513,47,,139,30,12,24,206,43,14,5,,57,18,,316,355
Houston Baptist,Southland,38,105,991,121,239,40,9,345,16,,88,14,7,19,196,58,8,3,,19,4,,280,263
Howard,MEAC,43,199,"1,075",249,321,52,19,462,17,1,137,20,13,18,151,30,19,2,,76,19,,337,239
Idaho St.,Big Sky,42,197,"1,150",220,329,53,8,491,31,,110,37,12,22,209,65,22,10,,51,4,,300,295
Illinois,Big Ten,45,218,"1,222",237,388,84,5,566,28,,106,25,9,34,164,35,13,8,,59,17,,367,305
Illinois St.,MVC,43,152,"1,118",165,277,48,9,424,27,,123,21,7,8,269,64,7,,,25,5,,267,284
Indiana,Big Ten,40,202,"1,055",227,314,75,5,546,49,2,95,47,6,10,195,39,12,5,,86,25,,243,279
Indiana St.,MVC,44,169,"1,157",194,319,62,6,477,28,3,115,22,8,21,190,58,13,3,,40,12,,358,272
Iona,MAAC,38,107,"1,060",128,230,39,3,362,29,1,115,20,2,6,277,62,11,5,,41,17,,239,279
